Player,draft_year,draft_round,draft_number
Mike Newlin,1971,1,24
Charlie Yelverton,1971,1,25
Amos Thomas,1971,1,26
Rick Fisher,1971,1,27
Jim Rose,1971,1,28
Isaiah Wilson,1971,1,29
Spencer Haywood,1971,1,30
Joe Bergman,1971,2,31
Howard Porter,1971,2,32
Marvin Stewart,1971,2,33
Gregg Northington,1971,2,34
Willie Long,1971,2,35
Gerald Lockett,1971,2,36
Larry Steele,1971,2,37
Rich Yunkus,1971,2,38
Jeff Halliburton,1971,2,39
Clifford Ray,1971,2,40
Jackie Ridgle,1971,2,41
William Smith,1971,2,42
Rich Rinaldi,1971,2,43
Dave Robisch,1971,2,44
Marv Roberts,1971,2,45
Dave Wohl,1971,2,46
Mike Gale,1971,2,47
Mo Layton,1971,2,48
Dick Gibbs,1971,2,49
Ken Mayfield,1971,2,50
Gary Brell,1971,2,51
Cliff Harris,1971,2,52
Jimmy O'Brien,1971,2,53
Bobby Fields,1971,2,54
Sid Catlett,1971,2,55
Jim Welch,1971,2,56
Pembrook Burrows,1971,2,57
Tom Owens,1971,2,58
Greg Gary,1971,2,59
Willie Allen,1971,2,60
Randy Denton,1971,2,61
Jarrett Durham,1971,2,62
Erwin Johnson,1971,2,63
Roger Brown,1971,2,64
Walt Szczerbiak,1971,2,65
Jim Irving,1971,2,66
Steve Niles,1971,2,67
Henry Smith,1971,2,68
Brian Mahoney,1971,2,69
Garry Nelson,1971,2,70
Hector Blondet,1971,2,71
Jimmie Guymon,1971,2,72
Tyrone Marioneaux,1971,2,73
Jeff Smith,1971,2,74
Rudy Benjamin,1971,2,75
Odis Allison,1971,2,76
Don Johnson,1971,2,77
Greg Nelson,1971,2,78
Vincent White,1971,2,79
Richard Hood,1971,2,80
Lee Dedmon,1971,2,81
Ken Gardner,1971,2,82
Larry Weatherford,1971,2,83
Bob Kissane,1971,2,84
Barry Nelson,1971,2,85
Mike Childress,1971,2,86
Glen Summors,1971,2,87
Jim Day,1971,2,88
Gil McGregor,1971,2,89
Willie Humes,1971,2,90
Mike Necaise,1971,2,91
Gary Reist,1971,2,92
Charles Johnson,1971,2,93
John Novey,1971,2,94
Thorpe Weber,1971,2,95
Jim Larranaga,1971,2,96
Jake Jones,1971,2,97
Bill Brickhouse,1971,2,98
William Graham,1971,2,99
Jim England,1971,2,100
Bill Mainor,1971,2,101
Ed Kemp,1971,2,102
Tom Bush,1971,2,103
Randy Smith,1971,2,104
Gene Knolle,1971,2,105
Ollie Shannon,1971,2,106
Mike Jordan,1971,2,107
John Duncan,1971,2,108
Eric Hill,1971,2,109
Ken May,1971,2,110
Dennis Hogg,1971,2,111
Ahmad Aliyy,1971,2,112
Steve Kelly,1971,2,113
Curtis Ford,1971,2,114
Gene Gathers,1971,2,115
Ralph Brateris,1971,2,116
Artis Gilmore,1971,2,117
Danny Davis,1971,2,118
Gene Phillips,1971,2,119
Charlie Davis,1971,2,120
Craig Love,1971,2,121
John Sutter,1971,2,122
Frank Fitzgerald,1971,2,123
Jim Smith,1971,2,124
Charlie Lowery,1971,2,125
Rick Katherman,1971,2,126
Jim Haderlein,1971,2,127
Russell Golden,1971,2,128
John Ribock,1971,2,129
Wayne Jones,1971,2,130
Barry Yates,1971,2,131
Luke Adams,1971,2,132
Vernell Ellzy,1971,2,133
Clarence Sherrod,1971,2,134
Leroy Eldridge,1971,2,135
Felix Thurston,1971,2,136
Rich Walker,1971,2,137
Gary Stewart,1971,2,138
Goo Kennedy,1971,2,139
Ernie Fleming,1971,2,140
Larry Holliday,1971,2,141
Willie Cherry,1971,2,142
Clarence Smith,1971,2,143
Ron Johnson,1971,2,144
Ray Greene,1971,2,145
Paul Botts,1971,2,146
Tom Lee,1971,2,147
Bob Cheeks,1971,2,148
Mike Johnson,1971,2,149
Jackie Dinkins,1971,2,150
Mike O'Brien,1971,2,151
Rick Howat,1971,2,152
Jim Meredith,1971,2,153
Don Ward,1971,2,154
Greg Starrick,1971,2,155
Ron Rippetoe,1971,2,156
Ed Huston,1971,2,157
Calvin Oliver,1971,2,158
Bill Drozdiak,1971,2,159
Eddie Myers,1971,2,160
Dale Dover,1971,2,161
Steve Butcher,1971,2,162
Jim Dinwiddie,1971,2,163
Cliff Mosley,1971,2,164
Tom Newell,1971,2,165
David Withers,1971,2,166
Andy Toth,1971,2,167
Dan Fife,1971,2,168
Mike Casey,1971,2,169
Bill Warner,1971,2,170
Howard Burford,1971,2,171
Levi Wyatt,1971,2,172
Jerome Perry,1971,2,173
Doug Rex,1971,2,174
Chuck Olkowski,1971,2,175
Reggie Brooks,1971,2,176
Larry Saunders,1971,2,177
Dana Pagett,1971,2,178
Paul Litz,1971,2,179
Al Smith,1971,2,180
Ken Davis,1971,2,181
Blaine Henry,1971,2,182
Doug Hess,1971,2,183
Butch Webster,1971,2,184
