,Season,Player,Team,Award
618,1987-88,Kevin McHale,,All-Defensive
619,1987-88,Hakeem Olajuwon,,All-Defensive
620,1986-87,Michael Cooper,,All-Defensive
621,1986-87,Dennis Johnson,,All-Defensive
622,1986-87,Kevin McHale,,All-Defensive
623,1986-87,Hakeem Olajuwon,,All-Defensive
624,1986-87,Alvin Robertson,,All-Defensive
625,1985-86,Maurice Cheeks,,All-Defensive
626,1985-86,Mark Eaton,,All-Defensive
627,1985-86,Kevin McHale,,All-Defensive
628,1985-86,Sidney Moncrief,,All-Defensive
629,1985-86,Paul Pressey,,All-Defensive
630,1984-85,Maurice Cheeks,,All-Defensive
